date,underlying,dte_bucket,iv_mny_m0p15,iv_mny_m0p1,iv_mny_m0p05,iv_mny_0p0,iv_mny_0p05,iv_mny_0p1,iv_mny_0p15
2024-02-01,SPY,30,0.178018,0.173957,0.171319,0.170000,0.169877,0.170827,0.172746
2024-02-02,SPY,30,0.179856,0.175951,0.173399,0.172078,0.171863,0.172647,0.174355
2024-02-05,SPY,30,0.181849,0.178028,0.175471,0.174054,0.173664,0.174220,0.175685
2024-02-06,SPY,30,0.183913,0.180088,0.177435,0.175837,0.175207,0.175499,0.176717
2024-02-07,SPY,30,0.185947,0.182031,0.179196,0.177350,0.176440,0.176461,0.177458
2024-02-08,SPY,30,0.187853,0.183759,0.180675,0.178539,0.177340,0.177112,0.177937
2024-02-09,SPY,30,0.189532,0.185193,0.181814,0.179376,0.177906,0.177478,0.178199
2024-02-12,SPY,30,0.190901,0.186271,0.182583,0.179859,0.178165,0.177604,0.178300
2024-02-13,SPY,30,0.191899,0.186958,0.182976,0.180011,0.178162,0.177549,0.178297
2024-02-14,SPY,30,0.192486,0.187248,0.183014,0.179877,0.177955,0.177372,0.178242
2024-02-15,SPY,30,0.192653,0.187160,0.182743,0.179517,0.177608,0.177131,0.178175
2024-02-16,SPY,30,0.192419,0.186737,0.182222,0.178997,0.177183,0.176872,0.178119
2024-02-19,SPY,30,0.191825,0.186041,0.181521,0.178385,0.176732,0.176625,0.178077
2024-02-20,SPY,30,0.190935,0.185144,0.180710,0.177737,0.176293,0.176401,0.178033
2024-02-21,SPY,30,0.189823,0.184121,0.179855,0.177098,0.175883,0.176190,0.177952
2024-02-22,SPY,30,0.188570,0.183043,0.179005,0.176495,0.175500,0.175963,0.177786
2024-02-23,SPY,30,0.187252,0.181969,0.178196,0.175931,0.175122,0.175679,0.177482
2024-02-26,SPY,30,0.185936,0.180939,0.177439,0.175392,0.174713,0.175286,0.176986
2024-02-27,SPY,30,0.184670,0.179975,0.176727,0.174848,0.174224,0.174733,0.176254
2024-02-28,SPY,30,0.183486,0.179078,0.176036,0.174254,0.173608,0.173975,0.175256
2024-02-29,SPY,30,0.182391,0.178229,0.175328,0.173566,0.172818,0.172981,0.173984
2024-03-01,SPY,30,0.181375,0.177397,0.174559,0.172737,0.171822,0.171738,0.172454
2024-03-04,SPY,30,0.180411,0.176539,0.173685,0.171735,0.170606,0.170260,0.170705
2024-03-05,SPY,30,0.179462,0.175616,0.172672,0.170542,0.169177,0.168580,0.168801
2024-03-06,SPY,30,0.178488,0.174591,0.171501,0.169161,0.167566,0.166759,0.166823
2024-03-07,SPY,30,0.177455,0.173443,0.170170,0.167620,0.165828,0.164873,0.164864
2024-03-08,SPY,30,0.176337,0.172168,0.168703,0.165969,0.164037,0.163013,0.163022
2024-03-11,SPY,30,0.175126,0.170783,0.167144,0.164276,0.162279,0.161275,0.161389
2024-03-12,SPY,30,0.173835,0.169327,0.165558,0.162625,0.160648,0.159752,0.160045
2024-03-13,SPY,30,0.172499,0.167861,0.164025,0.161108,0.159236,0.158523,0.159050
2024-03-14,SPY,30,0.171169,0.166459,0.162632,0.159816,0.158125,0.157650,0.158440
2024-03-15,SPY,30,0.169917,0.165205,0.161469,0.158828,0.157377,0.157173,0.158223
2024-03-18,SPY,30,0.168822,0.164186,0.160615,0.158209,0.157032,0.157100,0.158380
2024-03-19,SPY,30,0.167965,0.163479,0.160134,0.158000,0.157102,0.157415,0.158867
2024-03-20,SPY,30,0.167423,0.163148,0.160067,0.158215,0.157572,0.158076,0.159624
2024-03-21,SPY,30,0.167257,0.163234,0.160431,0.158839,0.158400,0.159018,0.160574
2024-03-22,SPY,30,0.167509,0.163755,0.161212,0.159831,0.159521,0.160166,0.161640
2024-03-25,SPY,30,0.168196,0.164696,0.162367,0.161126,0.160857,0.161436,0.162746
2024-03-26,SPY,30,0.169303,0.166016,0.163833,0.162643,0.162321,0.162749,0.163829
2024-03-27,SPY,30,0.170791,0.167650,0.165525,0.164292,0.163828,0.164033,0.164842
2024-03-28,SPY,30,0.172593,0.169513,0.167351,0.165981,0.165300,0.165234,0.165760
2024-03-29,SPY,30,0.174621,0.171508,0.169214,0.167629,0.166675,0.166319,0.166577
2024-04-01,SPY,30,0.176777,0.173534,0.171024,0.169164,0.167912,0.167276,0.167311
2024-04-02,SPY,30,0.178956,0.175496,0.172706,0.170538,0.168992,0.168114,0.167996
2024-04-03,SPY,30,0.181057,0.177312,0.174204,0.171726,0.169918,0.168863,0.168674
